PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
106,0,3,"Mionoff, Monsieur. Stoytcho",male,28.0,0,0,349207,7.8958,,S
693,1,3,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S
677,0,3,"Sawyer, Mr. Frederick Charles",male,24.5,0,0,342826,8.05,,S
284,1,3,"Dorking, Monsieur. Edward Arthur",male,19.0,0,0,A/5. 10482,8.05,,S
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q
335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",femme,,1,0,PC 17611,133.65,,S
18,1,2,"Williams, Monsieur. Charles Eugene",male,,0,0,244373,13.0,,S
762,0,3,"Nirva, Mr. Iisakki Antino Aijo",male,41.0,0,0,SOTON/O2 3101272,7.125,,S
434,0,3,"Kallio, Mr. Nikolai Erland",homme,17.0,0,0,STON/O 2. 3101274,7.125,,S
375,0,3,"Palsson, Miss. Stina Viola",femme,3.0,3,1,349909,21.075,,S
734,0,2,"Berriman, Mr. William John",male,23.0,0,0,28425,13.0,,S
24,1,1,"Sloper, Monsieur. William Thompson",male,28.0,0,0,113788,35.5,A6,S
879,0,3,"Laleff, Mr. Kristo",male,,0,0,349217,7.8958,,S
360,1,3,"Mockler, Miss. Helen Mary 'Ellie'",femme,,0,0,330980,7.8792,,Q
531,1,2,"Quick, Miss. Phyllis May",femme,2.0,1,1,26360,26.0,,S
383,0,3,"Tikkanen, Mr. Juho",homme,32.0,0,0,STON/O 2. 3101293,7.925,,S
172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,,Q
493,0,1,"Molson, Mr. Harry Markland",homme,55.0,0,0,113787,30.5,C30,S
296,0,1,"Lewy, Monsieur. Ervin G",male,,0,0,PC 17612,27.7208,,C
65,0,1,"Stewart, Monsieur. Albert A",male,,0,0,PC 17605,27.7208,,C
554,1,3,"Leeni, Mr. Fahim ('Philip Zenni')",homme,22.0,0,0,2620,7.225,,C
236,0,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S
435,0,1,"Silvey, Mr. William Baird",homme,50.0,1,0,13507,55.9,E44,S
536,1,2,"Hart, Miss. Eva Miriam",femme,7.0,0,2,F.C.C. 13529,26.25,,S
891,0,3,"Dooley, Mr. Patrick",male,32.0,0,0,370376,7.75,,Q
685,0,2,"Brown, Mr. Thomas William Solomon",male,60.0,1,1,29750,39.0,,S
20,1,3,"Masselmani, Madame. Fatima",female,,0,0,2649,7.225,,C
639,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41.0,0,5,3101295,39.6875,,S
125,0,1,"White, Monsieur. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S
